country,count
Afghanistan,2
Albania,4
Algeria,7
Andorra,1
Angola,1
Antigua and Barbuda,1
Argentina,11
Armenia,3
Australia,20
Austria,10
Azerbaijan,3
Bahrain,3
Bangladesh,3
Barbados,1
Belarus,4
Belgium,13
Belize,1
Benin,2
Bolivia (Plurinational State of),7
Bosnia and Herzegovina,3
Botswana,2
Brazil,22
Bulgaria,10
Burkina Faso,3
Cabo Verde,1
Cambodia,3
Cameroon,2
Canada,20
Central African Republic,2
Chad,2
Chile,6
China,55
Colombia,9
Costa Rica,4
C̫te d'Ivoire,4
Croatia,10
Cuba,9
Cyprus,3
Czechia,14
Democratic People's Republic of Korea,2
Democratic Republic of the Congo,5
Denmark,10
Dominica,1
Dominican Republic,1
Ecuador,5
Egypt,7
El Salvador,1
Eritrea,1
Estonia,2
Ethiopia,9
Fiji,1
Finland,7
France,45
Gabon,1
Gambia (the),2
Georgia,3
Germany,46
Ghana,2
Greece,18
Guatemala,3
Haiti,1
Holy See,2
Honduras,2
Hungary,8
Iceland,3
India,38
Indonesia,9
Iran (Islamic Republic of),24
Iraq,6
Ireland,2
Israel,9
Italy,55
Jamaica,1
Japan,23
Jerusalem (Site proposed by Jordan),1
Jordan,5
Kazakhstan,5
Kenya,7
Kiribati,1
Kyrgyzstan,3
Lao People's Democratic Republic,3
Latvia,2
Lebanon,5
Libya,5
Lithuania,4
Luxembourg,1
Madagascar,3
Malawi,2
Malaysia,4
Mali,4
Malta,3
Marshall Islands,1
Mauritania,2
Mauritius,2
Mexico,35
Micronesia (Federated States of),1
Mongolia,5
Montenegro,4
Morocco,9
Mozambique,1
Myanmar,2
Namibia,2
Nepal,4
Netherlands,10
New Zealand,3
Nicaragua,2
Niger,3
Nigeria,2
Norway,8
Oman,5
Pakistan,6
Palau,1
Palestine,3
Panama,5
Papua New Guinea,1
Paraguay,1
Peru,12
Philippines,6
Poland,16
Portugal,17
Qatar,1
Republic of Korea,14
Romania,8
Russian Federation,29
Saint Kitts and Nevis,1
Saint Lucia,1
San Marino,1
Saudi Arabia,5
Senegal,7
Serbia,5
Seychelles,2
Singapore,1
Slovakia,7
Slovenia,4
Solomon Islands,1
South Africa,10
Spain,48
Sri Lanka,8
Sudan,3
Suriname,2
Sweden,15
Switzerland,12
Syrian Arab Republic,6
Tajikistan,2
Thailand,5
Togo,1
Tunisia,8
Turkey,18
Turkmenistan,3
Uganda,3
Ukraine,7
United Arab Emirates,1
United Kingdom of Great Britain and Northern Ireland,32
United Republic of Tanzania,7
United States of America,24
Uruguay,2
Uzbekistan,5
Vanuatu,1
Venezuela (Bolivarian Republic of),3
Viet Nam,8
Yemen,4
Zimbabwe,5
North Macedonia,1
Republic of Moldova,1
Congo,1
Guinea,1
Lesotho,1
Zambia,1